#MOBILE
Vnum	1
Level   37
Gold	10000
Room	0
HpManaMove   409 409 0 0 1000 1000
Position 8
Flags 262147
AffectedBy   4194856
EndMobile

#MOBILE
Vnum	2
Level   50
Gold	10000
Room	0
HpManaMove   31595 31595 0 0 1000 1000
Position 8
Flags 3
AffectedBy   40
EndMobile

#MOBILE
Vnum	209
Level   5
Gold	0
Room	201
HpManaMove   75 75 0 0 1000 1000
Position 8
Flags 83886209
AffectedBy   0
EndMobile

#MOBILE
Vnum	208
Level   6
Gold	0
Room	202
HpManaMove   83 83 0 0 1000 1000
Position 8
Flags 83886209
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   8
Gold	0
Room	203
HpManaMove   89 89 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   9
Gold	0
Room	203
HpManaMove   166 166 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   9
Gold	0
Room	203
HpManaMove   167 167 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	206
Level   10
Gold	0
Room	203
HpManaMove   143 143 0 0 1000 1000
Position 8
Flags 16778241
AffectedBy   0
EndMobile

#MOBILE
Vnum	204
Level   49
Gold	0
Room	0
HpManaMove   510 510 0 0 1000 1000
Position 8
Flags 3
AffectedBy   0
EndMobile

#MOBILE
Vnum	204
Level   50
Gold	0
Room	0
HpManaMove   580 580 0 0 1000 1000
Position 8
Flags 3
AffectedBy   0
EndMobile

#MOBILE
Vnum	210
Level   2
Gold	0
Room	0
HpManaMove   24 24 0 0 1000 1000
Position 8
Flags 1027
AffectedBy   0
#OBJECT
Vnum         202
WearLoc      8
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	210
Level   1
Gold	0
Room	0
HpManaMove   13 13 0 0 1000 1000
Position 8
Flags 1027
AffectedBy   0
#OBJECT
Vnum         3
Level        1
End

#OBJECT
Vnum         202
WearLoc      8
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	207
Level   10
Gold	10
Room	0
HpManaMove   102 102 0 0 1000 1000
Position 8
Flags 16777219
AffectedBy   0
EndMobile

#MOBILE
Vnum	207
Level   11
Gold	10
Room	0
HpManaMove   102 102 0 0 1000 1000
Position 8
Flags 16777219
AffectedBy   0
EndMobile

#MOBILE
Vnum	203
Level   50
Gold	0
Room	0
HpManaMove   570 570 0 0 1000 1000
Position 8
Flags 3
AffectedBy   0
EndMobile

#MOBILE
Vnum	201
Level   50
Gold	0
Room	0
HpManaMove   912 912 0 0 1000 1000
Position 8
Flags 67108867
AffectedBy   0
EndMobile

#MOBILE
Vnum	200
Level   1
Gold	0
Room	0
HpManaMove   20 20 0 0 1000 1000
Position 8
Flags 3
AffectedBy   8
EndMobile

#MOBILE
Vnum	251
Level   9
Gold	0
Room	0
HpManaMove   500 500 0 0 1000 1000
Position 8
Flags 1539
AffectedBy   4194304
EndMobile
